CaseID,FamilyID,FrequencyMedian_Hz,PeriodFromMedian_s,FrequencyMin_Hz,FrequencyMax_Hz,RelativeFrequencySpread_pct,CandidateCount,WindowsRepresented,WindowLabels,ReviewPriority,DiagnosticClusteringRule,AutomaticAcceptance
TK2712-14,TK2712-14_F01,3.7750244140625,0.26489894907033146,3.7628173828125,3.79638671875,0.889248181083266,3,3,Middle;Late;Early,HIGH_RECURRENCE_REVIEW_PRIORITY,"max(0.08 Hz, 5% of current family median)",False
TK2712-14,TK2712-14_F02,3.497314453125,0.28593368237347294,3.4759521484375,3.5552978515625,2.268760907504363,3,3,Middle;Late;Early,HIGH_RECURRENCE_REVIEW_PRIORITY,"max(0.08 Hz, 5% of current family median)",False
TK2712-14,TK2712-14_F03,2.2430419921875,0.4458231292517007,2.2430419921875,2.2430419921875,0,1,1,Early,SINGLE_WINDOW_OR_DIFFUSE_REVIEW,"max(0.08 Hz, 5% of current family median)",False
TK2712-14,TK2712-14_F04,1.5228271484375,0.6566733466933867,1.5228271484375,1.5228271484375,0,1,1,Middle,SINGLE_WINDOW_OR_DIFFUSE_REVIEW,"max(0.08 Hz, 5% of current family median)",False
TK2712-14,TK2712-14_F05,1.2847900390625,0.7783372921615201,1.2847900390625,1.2847900390625,0,1,1,Early,SINGLE_WINDOW_OR_DIFFUSE_REVIEW,"max(0.08 Hz, 5% of current family median)",False
TK2718-3,TK2718-3_F01,1.531982421875,0.6527490039840638,1.5106201171875,1.5625,3.3864541832669324,3,3,Late;Middle;Early,HIGH_RECURRENCE_REVIEW_PRIORITY,"max(0.08 Hz, 5% of current family median)",False
TK2718-3,TK2718-3_F02,1.3214111328125,0.7567667436489608,1.3031005859375,1.348876953125,3.464203233256351,3,3,Early;Late;Middle,HIGH_RECURRENCE_REVIEW_PRIORITY,"max(0.08 Hz, 5% of current family median)",False
TK2718-3,TK2718-3_F03,1.739501953125,0.5748771929824561,1.7181396484375,1.8096923828125,5.2631578947368425,3,3,Early;Late;Middle,MODERATE_RECURRENCE_REVIEW_PRIORITY,"max(0.08 Hz, 5% of current family median)",False
TK2718-3,TK2718-3_F04,2.392578125,0.4179591836734694,2.3773193359375,2.4078369140625,1.2755102040816326,2,2,Middle;Late,MODERATE_RECURRENCE_REVIEW_PRIORITY,"max(0.08 Hz, 5% of current family median)",False
TK2718-3,TK2718-3_F05,1.1627197265625,0.8600524934383202,1.1627197265625,1.1627197265625,0,1,1,Middle,SINGLE_WINDOW_OR_DIFFUSE_REVIEW,"max(0.08 Hz, 5% of current family median)",False
