CaseID,StationKey,FieldDamageLabel,BuildingCategory,StoreysReported,EvidenceRoute
TK4616-1,TK4616,Moderate damage,III,5,SAVER_ANALYST_ADJUDICATED
TK4632-2,TK4632,No damage observed,II,3.5,SAVER_ANALYST_ADJUDICATED
TK2718-3,TK2718,Moderate damage,IV,5,SAVER_ANALYST_ADJUDICATED
TK3143-4,TK3143,No damage observed,I,2,SAVER_ANALYST_ADJUDICATED
TK4616-5,TK4616,Low damage,II,4,SAVER_ANALYST_ADJUDICATED
TK4616-6,TK4616,Low damage,III,5.5,SAVER_ANALYST_ADJUDICATED
TK3126-7,TK3126,Moderate damage,I,3,SAVER_ANALYST_ADJUDICATED
TK3129-8,TK3129,Low damage,I,2,SAVER_ANALYST_ADJUDICATED
TK3142-9,TK3142,Moderate damage,II,3.5,SAVER_ANALYST_ADJUDICATED
TK3135-10,TK3135,Severe damage,IV,4.5,SAVER_ANALYST_ADJUDICATED
TK3126-11,TK3126,Low damage,IV,4.5,SAVER_ANALYST_ADJUDICATED
TK3144-12,TK3144,No damage observed,I,2,EXTERNAL_ANALYSED_AV_RESULTS
TK3123-13,TK3123,Low damage,II,4,SAVER_ANALYST_ADJUDICATED
TK2712-14,TK2712,Moderate damage,-,2,SAVER_ANALYST_ADJUDICATED
